run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,bm,condprob,detector,NTAD,0.3267777777777778,0.10885714285714286,1.0,0.3267777777777778,1.0,ok,
2,gsa,condprob,detector,NTAD,0.3339047619047619,0.03666666666666667,3.06,0.30723809523809525,1.0,ok,
3,nda,condprob,detector,NTAD,0.3339047619047619,0.03666666666666667,3.06,0.30723809523809525,1.0,ok,
4,gsa_card,condprob,detector,NTAD,0.3981269841269841,0.034761904761904765,3.22,0.3747936507936508,1.0,ok,
5,llm_zero,condprob,detector,NTAD,0.2715879120879121,0.002857142857142857,0.0,0.2846825396825397,1.0,ok,
6,llm_fewshot,condprob,detector,NTAD,0.07520634920634922,0.02333333333333333,0.0,0.3163174603174603,1.0,ok,
7,llm_rag,condprob,detector,NTAD,0.3660869130869131,0.08411255411255411,0.0,0.32804906204906203,1.0,ok,
