run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,bm,condprob,detector,NTAD,0.32614663114663117,0.11522366522366521,1.0,0.32614663114663117,1.0,ok,
2,gsa,condprob,detector,NTAD,0.30365079365079367,0.09238095238095237,3.06,0.30365079365079367,1.0,ok,
3,nda,condprob,detector,NTAD,0.30365079365079367,0.09238095238095237,3.06,0.30365079365079367,1.0,ok,
4,gsa_card,condprob,detector,NTAD,0.3196825396825397,0.07166666666666666,3.24,0.313015873015873,1.0,ok,
5,llm_zero,condprob,detector,NTAD,0.18804945054945055,0.02193406593406593,0.0,0.3106887556887557,1.0,ok,
6,llm_fewshot,condprob,detector,NTAD,0.07433333333333333,0.0,0.0,0.34214663114663113,1.0,ok,
7,llm_rag,condprob,detector,NTAD,0.3794583194583195,0.11194993894993896,0.0,0.38812498612498614,1.0,ok,
