run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,bm,condprob,detector,NTAD,0.649489343989344,0.3408108558108559,1.0,0.649489343989344,1.0,ok,
2,gsa,condprob,detector,NTAD,0.6163681347891875,0.29978294976437386,3.58,0.6467580197580197,1.0,ok,
3,nda,condprob,detector,NTAD,0.6163681347891875,0.29978294976437386,3.58,0.6467580197580197,1.0,ok,
4,gsa_card,condprob,detector,NTAD,0.6355940987117458,0.30632178932178933,3.04,0.6355940987117458,1.0,ok,
5,llm_zero,condprob,detector,NTAD,0.30230189079374054,0.0308475671235703,0.0,0.5712804656605911,1.0,ok,
6,llm_fewshot,condprob,detector,NTAD,0.4463907975065871,0.0888704236939531,0.0,0.46932297643876597,1.0,ok,
7,llm_rag,condprob,detector,NTAD,0.59400898087121,0.10562103909162733,0.0,0.6018335422747187,1.0,ok,
