run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,bm,condprob,detector,NTAD,0.5868584777795304,0.27424185618303265,1.0,0.5868584777795304,1.0,ok,
2,gsa,condprob,detector,NTAD,0.5829495602436778,0.2712529692529692,3.48,0.5829117092058269,1.0,ok,
3,nda,condprob,detector,NTAD,0.5829495602436778,0.2712529692529692,3.48,0.5829117092058269,1.0,ok,
4,gsa_card,condprob,detector,NTAD,0.605046842046842,0.25549417249417244,3.04,0.605046842046842,1.0,ok,
5,llm_zero,condprob,detector,NTAD,0.28558818677720277,0.02698499261466013,0.0,0.5043885956149113,1.0,ok,
6,llm_fewshot,condprob,detector,NTAD,0.3052000141301393,0.058227526636478046,0.0,0.49144441413220513,1.0,ok,
7,llm_rag,condprob,detector,NTAD,0.588739734122087,0.06607720057720058,0.0,0.5809067892891422,1.0,ok,
