run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,bm,condprob,alpha,-,0.649489343989344,0.3408108558108559,1.0,0.649489343989344,1.0,ok,
2,gsa,condprob,alpha,-,0.6072543031443961,0.2678308234593064,2.78,0.6137622396523326,1.0,ok,
3,nda,condprob,alpha,-,0.6068806767707696,0.27106392369240667,2.88,0.6133886132787062,1.0,ok,
4,gsa_card,condprob,alpha,-,0.6492873237873238,0.33652514152514157,1.04,0.6492873237873238,1.0,ok,
