run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,bm,condprob,detector,NTAD,0.6161231546231546,0.31052780552780557,1.0,0.6161231546231546,1.0,ok,
2,gsa,condprob,detector,NTAD,0.5912157797482874,0.30429810059221823,3.3,0.5985320190645268,1.0,ok,
3,nda,condprob,detector,NTAD,0.5912157797482874,0.30429810059221823,3.3,0.5985320190645268,1.0,ok,
4,gsa_card,condprob,detector,NTAD,0.6189062604062604,0.31422732822732824,3.04,0.6189062604062604,1.0,ok,
5,llm_zero,condprob,detector,NTAD,0.2780260963439151,0.021165757989287402,0.0,0.6161231546231546,1.0,ok,
6,llm_fewshot,condprob,detector,NTAD,0.3274422859602023,0.08140560867020687,0.0,0.4486499234790526,1.0,ok,
7,llm_rag,condprob,detector,NTAD,0.6154877315666789,0.10029634091398798,0.0,0.6097765304870568,1.0,ok,
