run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,bm,condprob,detector,NTAD,0.37008058608058614,0.1369090909090909,1.0,0.37008058608058614,1.0,ok,
2,gsa,condprob,detector,NTAD,0.32390476190476186,0.08933333333333333,3.08,0.32390476190476186,1.0,ok,
3,nda,condprob,detector,NTAD,0.32390476190476186,0.08933333333333333,3.08,0.32390476190476186,1.0,ok,
4,gsa_card,condprob,detector,NTAD,0.37185714285714283,0.11533333333333333,3.46,0.3593809523809524,1.0,ok,
5,llm_zero,condprob,detector,NTAD,0.2070991949227243,0.0069696969696969695,0.0,0.3658498168498168,1.0,ok,
6,llm_fewshot,condprob,detector,NTAD,0.06333333333333332,0.0,0.0,0.3367472527472528,1.0,ok,
7,llm_rag,condprob,detector,NTAD,0.3665430125430125,0.08079120879120878,0.0,0.37320967920967923,1.0,ok,
