run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,bm,condprob,detector,NTAD,0.2732727272727272,0.09644444444444446,1.0,0.2732727272727272,1.0,ok,
2,gsa,condprob,detector,NTAD,0.3005238095238095,0.078,3.1,0.3005238095238095,1.0,ok,
3,nda,condprob,detector,NTAD,0.3005238095238095,0.078,3.1,0.3005238095238095,1.0,ok,
4,gsa_card,condprob,detector,NTAD,0.33938095238095245,0.054000000000000006,3.36,0.34865367965367966,1.0,ok,
5,llm_zero,condprob,detector,NTAD,0.1686170496170496,0.002857142857142857,0.0,0.28254012654012656,1.0,ok,
6,llm_fewshot,condprob,detector,NTAD,0.13205860805860806,0.010303030303030303,0.0,0.2670932400932401,1.0,ok,
7,llm_rag,condprob,detector,NTAD,0.274988455988456,0.042,0.0,0.29153102453102453,1.0,ok,
