run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,bm,embedding_cosine,alpha,-,0.37008058608058614,0.1369090909090909,1.0,0.37008058608058614,1.0,ok,
2,gsa,embedding_cosine,alpha,-,0.3658571428571429,0.10933333333333334,1.72,0.3591904761904762,1.0,ok,
3,nda,embedding_cosine,alpha,-,0.3658571428571429,0.10933333333333334,1.72,0.3591904761904762,1.0,ok,
4,gsa_card,embedding_cosine,alpha,-,0.3834139194139194,0.1369090909090909,1.04,0.3834139194139194,1.0,ok,
