run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa_card,condprob,detector,NCFD,0.3298571428571428,0.11085714285714285,1.0,0.3298571428571428,1.0,ok,
2,gsa_card,condprob,detector,CAI,0.3298571428571428,0.11085714285714285,1.0,0.3298571428571428,1.0,ok,
3,gsa_card,condprob,detector,EMND,0.3518571428571428,0.11085714285714285,1.06,0.3298571428571428,1.0,ok,
4,gsa_card,condprob,detector,NTAD,0.3942063492063492,0.08933333333333333,3.36,0.34993650793650793,1.0,ok,
