run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa_card,condprob,detector,NCFD,0.6294241898452425,0.2908238852650617,1.0,0.6294241898452425,1.0,ok,
2,gsa_card,condprob,detector,CAI,0.6294241898452425,0.2908238852650617,1.0,0.6294241898452425,1.0,ok,
3,gsa_card,condprob,detector,EMND,0.6294241898452425,0.2908238852650617,1.0,0.6294241898452425,1.0,ok,
4,gsa_card,condprob,detector,NTAD,0.6303232323232323,0.28313308913308916,3.02,0.6303232323232323,1.0,ok,
