run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa_card,pmi,detector,NCFD,0.6294241898452425,0.2908238852650617,1.0,0.6294241898452425,1.0,ok,
2,gsa_card,pmi,detector,CAI,0.6294241898452425,0.2908238852650617,1.0,0.6294241898452425,1.0,ok,
3,gsa_card,pmi,detector,EMND,0.6294241898452425,0.2908238852650617,1.0,0.6294241898452425,1.0,ok,
4,gsa_card,pmi,detector,NTAD,0.36535830835830835,0.1104078144078144,3.02,0.36535830835830835,1.0,ok,
