run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,bm,condprob,detector,NTAD,0.6294241898452425,0.2908238852650617,1.0,0.6294241898452425,1.0,ok,
2,gsa,condprob,detector,NTAD,0.5928300193098955,0.2817198781610546,3.72,0.6168674002296293,1.0,ok,
3,nda,condprob,detector,NTAD,0.5928300193098955,0.2817198781610546,3.72,0.6168674002296293,1.0,ok,
4,gsa_card,condprob,detector,NTAD,0.6303232323232323,0.28313308913308916,3.02,0.6303232323232323,1.0,ok,
5,llm_zero,condprob,detector,NTAD,0.2806703169913918,0.030319814285331526,0.0,0.4823578836622315,1.0,ok,
6,llm_fewshot,condprob,detector,NTAD,0.3172623865335369,0.04690007413504519,0.0,0.3506746409457913,1.0,ok,
7,llm_rag,condprob,detector,NTAD,0.5571109181496178,0.12681880864233805,0.0,0.5778004247214773,1.0,ok,
