run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,bm,condprob,detector,NTAD,0.5636459096459098,0.3032766005923901,1.0,0.5636459096459098,1.0,ok,
2,gsa,condprob,detector,NTAD,0.5644467373012264,0.24408137682750686,3.46,0.555977872832362,1.0,ok,
3,nda,condprob,detector,NTAD,0.5665520004591211,0.248787259180448,3.46,0.5580831359902568,1.0,ok,
4,gsa_card,condprob,detector,NTAD,0.6009679470855942,0.3053232323232323,3.0,0.6009679470855942,1.0,ok,
5,llm_zero,condprob,detector,NTAD,0.2089045740530313,0.009311594202898552,0.0,0.5324537181456537,1.0,ok,
6,llm_fewshot,condprob,detector,NTAD,0.3083924562663795,0.06510197441341606,0.0,0.43467664664264155,1.0,ok,
7,llm_rag,condprob,detector,NTAD,0.5688838938838939,0.10602874902874902,0.0,0.5731427461427462,1.0,ok,
