run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa,condprob,alpha,-,0.32609523809523805,0.11166666666666666,1.58,0.32609523809523805,1.0,ok,
2,gsa,condprob,detector,NTAD,0.31142857142857144,0.09166666666666666,3.02,0.31142857142857144,1.0,ok,
3,nda,condprob,alpha,-,0.32609523809523805,0.11166666666666666,1.58,0.32609523809523805,1.0,ok,
4,nda,condprob,detector,NTAD,0.31142857142857144,0.09166666666666666,3.02,0.31142857142857144,1.0,ok,
5,gsa_card,condprob,alpha,-,0.3474761904761905,0.03833333333333333,2.28,0.34319047619047616,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.3263809523809524,0.03166666666666666,3.46,0.3163809523809524,1.0,ok,
