run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa,condprob,alpha,-,0.47356619953833573,0.1690436513950446,3.38,0.5089786106566292,1.0,ok,
2,gsa,condprob,detector,NTAD,0.49902367498342737,0.19238481126716422,3.5,0.5344360861017207,1.0,ok,
3,nda,condprob,alpha,-,0.47356619953833573,0.1690436513950446,3.38,0.5089786106566292,1.0,ok,
4,nda,condprob,detector,NTAD,0.49902367498342737,0.19238481126716422,3.5,0.5344360861017207,1.0,ok,
5,gsa_card,condprob,alpha,-,0.5710309625015507,0.24760062160062163,1.06,0.5710309625015507,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.5642136752136753,0.2322013542013542,3.04,0.5642136752136753,1.0,ok,
