run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa,condprob,alpha,-,0.49650928070897116,0.18747154049940426,2.38,0.4996203918200823,1.0,ok,
2,gsa,condprob,detector,NTAD,0.5052467422498382,0.18197863385324686,3.24,0.5210692530723491,1.0,ok,
3,nda,condprob,alpha,-,0.49650928070897116,0.18747154049940426,2.38,0.4996203918200823,1.0,ok,
4,nda,condprob,detector,NTAD,0.5052467422498382,0.18197863385324686,3.24,0.5210692530723491,1.0,ok,
5,gsa_card,condprob,alpha,-,0.5488811175065045,0.27658122269886976,1.0,0.5488811175065045,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.5196698334345393,0.22878599178599174,3.0,0.5196698334345393,1.0,ok,
