run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
2,gsa,condprob,detector,NTAD,0.32180952380952377,0.04,3.1,0.32180952380952377,1.0,ok,
1,gsa,condprob,alpha,-,0.3071428571428571,0.05333333333333333,2.08,0.3071428571428571,1.0,ok,
3,nda,condprob,alpha,-,0.3071428571428571,0.05333333333333333,2.08,0.3071428571428571,1.0,ok,
4,nda,condprob,detector,NTAD,0.32180952380952377,0.04,3.1,0.32180952380952377,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.3386190476190476,0.04371428571428572,3.46,0.3689523809523809,1.0,ok,
5,gsa_card,condprob,alpha,-,0.32266666666666666,0.04904761904761905,2.76,0.36266666666666664,1.0,ok,
