run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa,condprob,alpha,-,0.5573385386543281,0.21561406773481073,3.02,0.5469966583124478,1.0,ok,
2,gsa,condprob,detector,NTAD,0.583082995951417,0.23025150803788574,3.34,0.5805188933873144,1.0,ok,
3,nda,condprob,alpha,-,0.55315672047251,0.20412688824763126,3.04,0.5428148401306296,1.0,ok,
4,nda,condprob,detector,NTAD,0.5804163292847503,0.22409766188403957,3.34,0.5778522267206478,1.0,ok,
5,gsa_card,condprob,alpha,-,0.5928267843267843,0.22388933288933288,1.1,0.5928267843267843,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.5625628815628816,0.15601232101232101,3.04,0.5625628815628816,1.0,ok,
