run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa,condprob,alpha,-,0.28069841269841267,0.04,1.6,0.2856984126984127,1.0,ok,
2,gsa,condprob,detector,NTAD,0.28069841269841267,0.04,3.14,0.2856984126984127,1.0,ok,
3,nda,condprob,alpha,-,0.28069841269841267,0.04,1.6,0.2856984126984127,1.0,ok,
4,nda,condprob,detector,NTAD,0.28069841269841267,0.04,3.14,0.2856984126984127,1.0,ok,
5,gsa_card,condprob,alpha,-,0.31066666666666665,0.034761904761904765,2.12,0.31066666666666665,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.32311544011544013,0.03142857142857143,3.18,0.32132756132756135,1.0,ok,
