run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa,condprob,alpha,-,0.28023809523809523,0.09666666666666666,1.76,0.28023809523809523,1.0,ok,
2,gsa,condprob,detector,NTAD,0.2845238095238095,0.09666666666666666,3.14,0.2845238095238095,1.0,ok,
3,nda,condprob,alpha,-,0.28023809523809523,0.09666666666666666,1.76,0.28023809523809523,1.0,ok,
4,nda,condprob,detector,NTAD,0.2845238095238095,0.09666666666666666,3.14,0.2845238095238095,1.0,ok,
5,gsa_card,condprob,alpha,-,0.3182063492063492,0.09666666666666666,2.18,0.32265079365079363,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.3208888888888889,0.06476190476190476,3.42,0.31666666666666665,1.0,ok,
