run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa,condprob,alpha,-,0.24980952380952384,0.04666666666666666,1.9,0.24980952380952384,1.0,ok,
2,gsa,condprob,detector,NTAD,0.2631428571428571,0.04666666666666666,3.28,0.2631428571428571,1.0,ok,
3,nda,condprob,alpha,-,0.24980952380952384,0.04666666666666666,1.9,0.24980952380952384,1.0,ok,
4,nda,condprob,detector,NTAD,0.2631428571428571,0.04666666666666666,3.28,0.2631428571428571,1.0,ok,
5,gsa_card,condprob,alpha,-,0.27404761904761904,0.026666666666666665,2.2,0.27404761904761904,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.27166666666666667,0.03333333333333333,3.34,0.27166666666666667,1.0,ok,
