run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa,condprob,alpha,-,0.5195713833809809,0.21021129266330504,3.12,0.5108889546985522,1.0,ok,
2,gsa,condprob,detector,NTAD,0.5374405142501117,0.23033402373340453,3.5,0.5190539008634985,1.0,ok,
3,nda,condprob,alpha,-,0.5224333743312071,0.2120467904988029,3.2,0.5137509456487784,1.0,ok,
4,nda,condprob,detector,NTAD,0.5374405142501117,0.23033402373340453,3.5,0.5190539008634985,1.0,ok,
5,gsa_card,condprob,alpha,-,0.5784362859362859,0.2564245754245754,1.04,0.5784362859362859,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.5581410941999178,0.246011544011544,3.1,0.5581410941999178,1.0,ok,
