run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa,condprob,alpha,-,0.5426062444607336,0.22705042996219468,2.84,0.5398120843724559,1.0,ok,
2,gsa,condprob,detector,NTAD,0.5581982022105861,0.24823197064373537,3.8,0.5471278738461401,1.0,ok,
3,nda,condprob,alpha,-,0.5426062444607336,0.22705042996219468,2.84,0.5398120843724559,1.0,ok,
4,nda,condprob,detector,NTAD,0.5581982022105861,0.24823197064373537,3.8,0.5471278738461401,1.0,ok,
5,gsa_card,condprob,alpha,-,0.5311294196000078,0.2996302586302586,1.06,0.5311294196000078,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.5154595959595959,0.19468009768009764,3.04,0.5154595959595959,1.0,ok,
