run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa,condprob,alpha,-,0.5362933272437916,0.19130415662768602,3.24,0.5232125191629836,1.0,ok,
2,gsa,condprob,detector,NTAD,0.5565810175376739,0.2405885552356141,3.3,0.5372886198768552,1.0,ok,
3,nda,condprob,alpha,-,0.5362933272437916,0.18844701377054313,3.24,0.5232125191629836,1.0,ok,
4,nda,condprob,detector,NTAD,0.5565810175376739,0.2405885552356141,3.3,0.5372886198768552,1.0,ok,
5,gsa_card,condprob,alpha,-,0.47375473546061775,0.20894372294372296,1.08,0.47375473546061775,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.5013882783882784,0.23177522477522478,3.02,0.5013882783882784,1.0,ok,
