run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa,condprob,alpha,-,0.4652324250964541,0.1801284603383995,3.14,0.4682967687335531,1.0,ok,
2,gsa,condprob,detector,NTAD,0.4747748271015025,0.18253066597589926,3.66,0.46580878007663196,1.0,ok,
3,nda,condprob,alpha,-,0.4652324250964541,0.1801284603383995,3.14,0.4682967687335531,1.0,ok,
4,nda,condprob,detector,NTAD,0.4747748271015025,0.18253066597589926,3.66,0.46580878007663196,1.0,ok,
5,gsa_card,condprob,alpha,-,0.4334154603566368,0.2432331002331002,1.16,0.4334154603566368,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.46877139527139533,0.23410223110223108,3.18,0.462485680985681,1.0,ok,
