run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
2,gsa,condprob,detector,NTAD,0.2874285714285714,0.08,3.08,0.2874285714285714,1.0,ok,
1,gsa,condprob,alpha,-,0.28409523809523807,0.08,2.32,0.28409523809523807,1.0,ok,
3,nda,condprob,alpha,-,0.28409523809523807,0.08,2.32,0.28409523809523807,1.0,ok,
4,nda,condprob,detector,NTAD,0.2874285714285714,0.08,3.08,0.2874285714285714,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.31007936507936507,0.051428571428571435,3.24,0.31007936507936507,1.0,ok,
5,gsa_card,condprob,alpha,-,0.29096825396825393,0.05333333333333333,2.78,0.29096825396825393,1.0,ok,
