run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa,condprob,alpha,-,0.5475649281918631,0.2251167923923342,3.46,0.5575649281918631,1.0,ok,
2,gsa,condprob,detector,NTAD,0.5970147630147631,0.26438633588633587,3.16,0.6070147630147631,1.0,ok,
3,nda,condprob,alpha,-,0.5475649281918631,0.2251167923923342,3.46,0.5575649281918631,1.0,ok,
4,nda,condprob,detector,NTAD,0.5970147630147631,0.26438633588633587,3.16,0.6070147630147631,1.0,ok,
5,gsa_card,condprob,alpha,-,0.6127647352647352,0.32667177267177266,1.02,0.6127647352647352,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.5926230436230436,0.2957215007215007,3.0,0.5926230436230436,1.0,ok,
