run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa,condprob,alpha,-,0.32530303030303026,0.13333333333333333,1.6,0.32530303030303026,1.0,ok,
2,gsa,condprob,detector,NTAD,0.32530303030303026,0.13333333333333333,3.1,0.32530303030303026,1.0,ok,
3,nda,condprob,alpha,-,0.32530303030303026,0.13333333333333333,1.6,0.32530303030303026,1.0,ok,
4,nda,condprob,detector,NTAD,0.32530303030303026,0.13333333333333333,3.1,0.32530303030303026,1.0,ok,
5,gsa_card,condprob,alpha,-,0.37185714285714283,0.14404761904761906,2.14,0.3518571428571428,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.378111111111111,0.11966666666666664,3.32,0.35668253968253966,1.0,ok,
