run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
2,gsa,condprob,detector,NTAD,0.3808571428571429,0.10666666666666666,3.16,0.3708571428571429,1.0,ok,
1,gsa,condprob,alpha,-,0.3908571428571428,0.09333333333333332,2.38,0.38085714285714284,1.0,ok,
3,nda,condprob,alpha,-,0.3908571428571428,0.09333333333333332,2.38,0.38085714285714284,1.0,ok,
4,nda,condprob,detector,NTAD,0.3808571428571429,0.10666666666666666,3.16,0.3708571428571429,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.39199999999999996,0.06666666666666667,3.46,0.3904444444444444,1.0,ok,
5,gsa_card,condprob,alpha,-,0.3924761904761905,0.08333333333333331,2.42,0.36247619047619045,1.0,ok,
