run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
1,gsa,condprob,alpha,-,0.505059203782114,0.20215478226623737,3.06,0.5316147593376696,1.0,ok,
2,gsa,condprob,detector,NTAD,0.5303210109463979,0.2144248398660163,3.42,0.5532098998352868,1.0,ok,
3,nda,condprob,alpha,-,0.5081361268590371,0.1990778591893143,3.1,0.5346916824145925,1.0,ok,
4,nda,condprob,detector,NTAD,0.533397934023321,0.2144248398660163,3.42,0.5562868229122099,1.0,ok,
5,gsa_card,condprob,alpha,-,0.5418302253302254,0.2596896436896437,1.12,0.5418302253302254,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.5528139638139639,0.19851925851925847,3.06,0.5528139638139639,1.0,ok,
