run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
2,gsa,condprob,detector,NTAD,0.3231111111111111,0.055999999999999994,3.04,0.3231111111111111,1.0,ok,
1,gsa,condprob,alpha,-,0.3151111111111111,0.036,2.14,0.3151111111111111,1.0,ok,
3,nda,condprob,alpha,-,0.3151111111111111,0.036,2.14,0.3151111111111111,1.0,ok,
4,nda,condprob,detector,NTAD,0.3231111111111111,0.055999999999999994,3.04,0.3231111111111111,1.0,ok,
6,gsa_card,condprob,detector,NTAD,0.3776825396825397,0.05642857142857143,3.18,0.3896825396825397,1.0,ok,
5,gsa_card,condprob,alpha,-,0.3170952380952381,0.03142857142857143,2.78,0.3290952380952381,1.0,ok,
