run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
2,gsa_card,embedding_cosine,detector,NCFD,0.3267777777777778,0.1040952380952381,1.0,0.3267777777777778,1.0,ok,
3,gsa_card,embedding_cosine,detector,CAI,0.3267777777777778,0.1040952380952381,1.0,0.3267777777777778,1.0,ok,
4,gsa_card,embedding_cosine,detector,EMND,0.3267777777777778,0.1040952380952381,1.0,0.3267777777777778,1.0,ok,
5,gsa_card,embedding_cosine,detector,NTAD,0.2957777777777778,0.04,3.38,0.3012857142857143,1.0,ok,
6,gsa_card,condprob,alpha,-,0.4392857142857143,0.03942857142857143,2.8,0.43285714285714283,1.0,ok,
7,gsa_card,condprob,detector,NCFD,0.3267777777777778,0.1040952380952381,1.0,0.3267777777777778,1.0,ok,
8,gsa_card,condprob,detector,CAI,0.3267777777777778,0.1040952380952381,1.0,0.3267777777777778,1.0,ok,
9,gsa_card,condprob,detector,EMND,0.3267777777777778,0.1040952380952381,1.0,0.3267777777777778,1.0,ok,
10,gsa_card,condprob,detector,NTAD,0.3981269841269841,0.034761904761904765,3.22,0.3747936507936508,1.0,ok,
1,gsa_card,embedding_cosine,alpha,-,0.30677777777777776,0.1040952380952381,1.02,0.3267777777777778,1.0,ok,
11,gsa_card,pmi,alpha,-,0.3267777777777778,0.1040952380952381,1.06,0.3267777777777778,1.0,ok,
12,gsa_card,pmi,detector,NCFD,0.3267777777777778,0.1040952380952381,1.0,0.3267777777777778,1.0,ok,
13,gsa_card,pmi,detector,CAI,0.3267777777777778,0.1040952380952381,1.0,0.3267777777777778,1.0,ok,
14,gsa_card,pmi,detector,EMND,0.3267777777777778,0.1040952380952381,1.0,0.3267777777777778,1.0,ok,
15,gsa_card,pmi,detector,NTAD,0.37439682539682534,0.051428571428571435,3.08,0.37439682539682534,1.0,ok,
