run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
2,gsa_card,embedding_cosine,detector,NCFD,0.32614663114663117,0.11522366522366521,1.0,0.32614663114663117,1.0,ok,
3,gsa_card,embedding_cosine,detector,CAI,0.32614663114663117,0.11522366522366521,1.0,0.32614663114663117,1.0,ok,
4,gsa_card,embedding_cosine,detector,EMND,0.32614663114663117,0.11522366522366521,1.0,0.32614663114663117,1.0,ok,
5,gsa_card,embedding_cosine,detector,NTAD,0.30930158730158736,0.04166666666666666,3.4,0.3122106782106782,1.0,ok,
6,gsa_card,condprob,alpha,-,0.36424098124098125,0.08444444444444445,2.82,0.34757431457431454,1.0,ok,
7,gsa_card,condprob,detector,NCFD,0.3292235542235542,0.11522366522366521,1.0,0.3292235542235542,1.0,ok,
8,gsa_card,condprob,detector,CAI,0.3292235542235542,0.11522366522366521,1.0,0.3292235542235542,1.0,ok,
9,gsa_card,condprob,detector,EMND,0.3292235542235542,0.11522366522366521,1.0,0.3292235542235542,1.0,ok,
10,gsa_card,condprob,detector,NTAD,0.3196825396825397,0.07166666666666666,3.24,0.313015873015873,1.0,ok,
1,gsa_card,embedding_cosine,alpha,-,0.32614663114663117,0.11522366522366521,1.0,0.32614663114663117,1.0,ok,
11,gsa_card,pmi,alpha,-,0.32614663114663117,0.11522366522366521,1.0,0.32614663114663117,1.0,ok,
12,gsa_card,pmi,detector,NCFD,0.32614663114663117,0.11522366522366521,1.0,0.32614663114663117,1.0,ok,
13,gsa_card,pmi,detector,CAI,0.32614663114663117,0.11522366522366521,1.0,0.32614663114663117,1.0,ok,
14,gsa_card,pmi,detector,EMND,0.32614663114663117,0.11522366522366521,1.0,0.32614663114663117,1.0,ok,
15,gsa_card,pmi,detector,NTAD,0.27666810966810973,0.056666666666666664,3.14,0.27666810966810973,1.0,ok,
