run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
2,gsa_card,embedding_cosine,detector,NCFD,0.3298571428571428,0.11085714285714285,1.0,0.3298571428571428,1.0,ok,
3,gsa_card,embedding_cosine,detector,CAI,0.3298571428571428,0.11085714285714285,1.0,0.3298571428571428,1.0,ok,
4,gsa_card,embedding_cosine,detector,EMND,0.3298571428571428,0.11085714285714285,1.02,0.3298571428571428,1.0,ok,
5,gsa_card,embedding_cosine,detector,NTAD,0.33574891774891774,0.06799999999999999,3.32,0.311018759018759,1.0,ok,
6,gsa_card,condprob,alpha,-,0.41169841269841273,0.06466666666666666,2.44,0.410984126984127,1.0,ok,
7,gsa_card,condprob,detector,NCFD,0.3298571428571428,0.11085714285714285,1.0,0.3298571428571428,1.0,ok,
8,gsa_card,condprob,detector,CAI,0.3298571428571428,0.11085714285714285,1.0,0.3298571428571428,1.0,ok,
9,gsa_card,condprob,detector,EMND,0.3518571428571428,0.11085714285714285,1.06,0.3298571428571428,1.0,ok,
10,gsa_card,condprob,detector,NTAD,0.3942063492063492,0.08933333333333333,3.36,0.34993650793650793,1.0,ok,
1,gsa_card,embedding_cosine,alpha,-,0.33871572871572875,0.07838095238095238,3.18,0.3151111111111111,1.0,ok,
11,gsa_card,pmi,alpha,-,0.3298571428571428,0.11085714285714285,1.0,0.3298571428571428,1.0,ok,
12,gsa_card,pmi,detector,NCFD,0.3298571428571428,0.11085714285714285,1.0,0.3298571428571428,1.0,ok,
13,gsa_card,pmi,detector,CAI,0.3298571428571428,0.11085714285714285,1.0,0.3298571428571428,1.0,ok,
14,gsa_card,pmi,detector,EMND,0.3518571428571428,0.11085714285714285,1.06,0.3298571428571428,1.0,ok,
15,gsa_card,pmi,detector,NTAD,0.37249206349206354,0.048,3.14,0.37249206349206354,1.0,ok,
