run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
2,gsa_card,embedding_cosine,detector,NCFD,0.2732727272727272,0.09644444444444446,1.0,0.2732727272727272,1.0,ok,
3,gsa_card,embedding_cosine,detector,CAI,0.2732727272727272,0.09644444444444446,1.0,0.2732727272727272,1.0,ok,
4,gsa_card,embedding_cosine,detector,EMND,0.2732727272727272,0.09644444444444446,1.0,0.2732727272727272,1.0,ok,
5,gsa_card,embedding_cosine,detector,NTAD,0.30923809523809526,0.036,3.64,0.3275584415584416,1.0,ok,
6,gsa_card,condprob,alpha,-,0.319952380952381,0.03866666666666667,2.82,0.27984415584415584,1.0,ok,
7,gsa_card,condprob,detector,NCFD,0.2732727272727272,0.09644444444444446,1.0,0.2732727272727272,1.0,ok,
8,gsa_card,condprob,detector,CAI,0.2732727272727272,0.09644444444444446,1.0,0.2732727272727272,1.0,ok,
9,gsa_card,condprob,detector,EMND,0.2732727272727272,0.09644444444444446,1.0,0.2732727272727272,1.0,ok,
10,gsa_card,condprob,detector,NTAD,0.33366666666666667,0.054000000000000006,3.36,0.342939393939394,1.0,ok,
1,gsa_card,embedding_cosine,alpha,-,0.24354112554112553,0.027999999999999997,3.26,0.2803203463203463,1.0,ok,
11,gsa_card,pmi,alpha,-,0.2479393939393939,0.08644444444444446,1.18,0.2479393939393939,1.0,ok,
12,gsa_card,pmi,detector,NCFD,0.2732727272727272,0.09644444444444446,1.0,0.2732727272727272,1.0,ok,
13,gsa_card,pmi,detector,CAI,0.2732727272727272,0.09644444444444446,1.0,0.2732727272727272,1.0,ok,
14,gsa_card,pmi,detector,EMND,0.2732727272727272,0.09644444444444446,1.0,0.2732727272727272,1.0,ok,
15,gsa_card,pmi,detector,NTAD,0.2866666666666666,0.022000000000000002,3.54,0.3015584415584415,1.0,ok,
