run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
2,gsa_card,embedding_cosine,detector,NCFD,0.37008058608058614,0.1369090909090909,1.0,0.37008058608058614,1.0,ok,
3,gsa_card,embedding_cosine,detector,CAI,0.37008058608058614,0.1369090909090909,1.0,0.37008058608058614,1.0,ok,
4,gsa_card,embedding_cosine,detector,EMND,0.37008058608058614,0.1369090909090909,1.0,0.37008058608058614,1.0,ok,
5,gsa_card,embedding_cosine,detector,NTAD,0.3231125541125541,0.06333333333333332,3.62,0.3685887445887446,1.0,ok,
6,gsa_card,condprob,alpha,-,0.3923030303030303,0.126,2.54,0.3685714285714286,1.0,ok,
7,gsa_card,condprob,detector,NCFD,0.37008058608058614,0.1369090909090909,1.0,0.37008058608058614,1.0,ok,
8,gsa_card,condprob,detector,CAI,0.37008058608058614,0.1369090909090909,1.0,0.37008058608058614,1.0,ok,
9,gsa_card,condprob,detector,EMND,0.37008058608058614,0.1369090909090909,1.0,0.37008058608058614,1.0,ok,
10,gsa_card,condprob,detector,NTAD,0.37185714285714283,0.11533333333333333,3.46,0.3593809523809524,1.0,ok,
1,gsa_card,embedding_cosine,alpha,-,0.3834139194139194,0.1369090909090909,1.04,0.3834139194139194,1.0,ok,
11,gsa_card,pmi,alpha,-,0.37008058608058614,0.1369090909090909,1.0,0.37008058608058614,1.0,ok,
12,gsa_card,pmi,detector,NCFD,0.37008058608058614,0.1369090909090909,1.0,0.37008058608058614,1.0,ok,
13,gsa_card,pmi,detector,CAI,0.37008058608058614,0.1369090909090909,1.0,0.37008058608058614,1.0,ok,
14,gsa_card,pmi,detector,EMND,0.37008058608058614,0.1369090909090909,1.0,0.37008058608058614,1.0,ok,
15,gsa_card,pmi,detector,NTAD,0.3373809523809524,0.066,3.44,0.3276190476190476,1.0,ok,
